Los Angeles,34.05223,-118.24368
New York City,40.71427,-74.00597
Philadelphia,39.95233,-75.16379
Houston,29.76328,-95.36327
Chicago,41.85003,-87.65005
|Washington, D.C.|,38.89511,-77.03637
Phoenix,33.44838,-112.07404
Brooklyn,40.6501,-73.94958
Oklahoma City,35.46756,-97.51643
San Antonio,29.42412,-98.49363
Columbus,39.96118,-82.99879
Austin,30.26715,-97.74306
Boston,42.35843,-71.05977
Sacramento,38.58157,-121.4944
Denver,39.73915,-104.9847
Atlanta,33.749,-84.38798
Indianapolis,39.76838,-86.15804
Honolulu,21.30694,-157.85833
Nashville,36.16589,-86.78444
Memphis,35.14953,-90.04898
Columbia,34.00071,-81.03481
Hartford,41.76371,-72.68509
Fort Worth,32.72541,-97.32085
Dallas,32.78306,-96.80667
Richmond,37.55376,-77.46026
Charleston,38.34982,-81.63262
Des Moines,41.60054,-93.60911
Santa Fe,35.68698,-105.9378
Albuquerque,35.08449,-106.65114
Salem,44.9429,-123.0351
Portland,45.52345,-122.67621
Bismarck,46.80833,-100.78374
Carson City,39.1638,-119.7674
Las Vegas,36.17497,-115.13722
Salt Lake City,40.76078,-111.89105
Olympia,47.03787,-122.9007
Juneau,58.30194,-134.41972
Cheyenne,41.13998,-104.82025
Seattle,47.60621,-122.33207
Boise,43.6135,-116.20345
El Paso,31.75872,-106.48693
San Diego,32.71571,-117.16472
San Francisco,37.77493,-122.41942
San Jose,37.33939,-121.89496
Montgomery,32.36681,-86.29997
Jackson,32.29876,-90.18481
Charlotte,35.22709,-80.84313
New Orleans,29.95465,-90.07507
Baton Rouge,30.44332,-91.18747
Little Rock,34.74648,-92.28959
Kansas City,39.09973,-94.57857
Raleigh,35.7721,-78.63861
Miami,25.77427,-80.19366
Tallahassee,30.43826,-84.28073
Jacksonville,30.33218,-81.65565
Baltimore,39.29038,-76.61219
Springfield,39.80172,-89.64371
Topeka,39.04833,-95.67804
Saint Paul,44.94441,-93.09327
Lincoln,40.8,-96.66696
Fresno,36.74773,-119.77237
Tucson,32.22174,-110.92648
Madison,43.07305,-89.40123
Milwaukee,43.0389,-87.90647
Trenton,40.21705,-74.74294
Providence,41.82399,-71.41283
Albany,42.65258,-73.75623
Lansing,42.73253,-84.55553
Detroit,42.33143,-83.04575
Queens,40.68149,-73.83652
Anchorage,61.21806,-149.90028
Murfreesboro,35.84562,-86.39027
Knoxville,35.96064,-83.92074
Brownsville,25.90175,-97.49748
Chattanooga,35.04563,-85.30968
Clarksville,36.52977,-87.35945
Charleston,32.77657,-79.93092
Tulsa,36.15398,-95.99277
Norman,35.22257,-97.43948
Richardson,32.94818,-96.72972
Round Rock,30.50826,-97.6789
College Station,30.62798,-96.33441
Corpus Christi,27.80058,-97.39638
Tyler,32.35126,-95.30106
Waco,31.54933,-97.14667
Wichita Falls,33.91371,-98.49339
Hampton,37.02987,-76.34522
Chesapeake,36.81904,-76.27494
Alexandria,38.80484,-77.04692
Arlington,38.88101,-77.10428
Pasadena,29.69106,-95.2091
Plano,33.01984,-96.69889
Garland,32.91262,-96.63888
Grand Prairie,32.74596,-96.99778
Cincinnati,39.12711,-84.51439
Dayton,39.75895,-84.19161
Denton,33.21484,-97.13307
Killeen,31.11712,-97.7278
Laredo,27.50641,-99.50754
McAllen,26.20341,-98.23001
Mesquite,32.7668,-96.59916
Irving,32.81402,-96.94889
Roanoke,37.27097,-79.94143
Newport News,37.08339,-76.46965
Norfolk,36.84681,-76.28522
Virginia Beach,36.85293,-75.97799
Abilene,32.44874,-99.73314
Arlington,32.73569,-97.10807
Beaumont,30.08605,-94.10185
Rockford,42.27113,-89.094
Elgin,42.03725,-88.28119
Evanston,42.04114,-87.69006
Champaign,40.11642,-88.24338
Naperville,41.78586,-88.14729
Peoria,40.69365,-89.58899
Cedar Rapids,42.00833,-91.64407
Davenport,41.52364,-90.57764
New Haven,41.30815,-72.92816
Norwalk,41.1176,-73.4079
Stamford,41.05343,-73.53873
Waterbury,41.55815,-73.0515
Danbury,41.39482,-73.45401
Springfield,42.10148,-72.58981
Cambridge,42.3751,-71.10561
Fall River,41.70149,-71.15505
Lowell,42.63342,-71.31617
Lynn,42.46676,-70.94949
New Bedford,41.63622,-70.93421
Worcester,42.26259,-71.80229
Augusta,44.31062,-69.77949
South Bend,41.68338,-86.25001
Brockton,42.08343,-71.01838
Fort Wayne,41.1306,-85.12886
Gary,41.59337,-87.34643
Hammond,41.58337,-87.50004
Las Cruces,32.31232,-106.77834
Billings,45.78329,-108.50069
Richmond,37.93576,-122.34775
Riverside,33.95335,-117.39616
Eugene,44.05207,-123.08675
Nampa,43.54072,-116.56346
Beaverton,45.48706,-122.80371
Helena,46.59271,-112.03611
Pueblo,38.25445,-104.60914
Arvada,39.80276,-105.08748
Aurora,39.72943,-104.83192
Odessa,31.84568,-102.36764
San Angelo,31.46377,-100.43704
North Las Vegas,36.19886,-115.1175
Reno,39.52963,-119.8138
Sparks,39.53491,-119.75269
Henderson,36.0397,-114.98194
Lubbock,33.57786,-101.85517
Midland,31.99735,-102.07791
Stockton,37.9577,-121.29078
Sunnyvale,37.36883,-122.03635
Temecula,33.49364,-117.14836
Torrance,33.83585,-118.34063
Westminster,39.83665,-105.0372
Vallejo,38.10409,-122.25664
Visalia,36.33023,-119.29206
Pomona,34.05529,-117.75228
Rancho Cucamonga,34.1064,-117.59311
Simi Valley,34.26945,-118.78148
West Covina,34.06862,-117.93895
Whittier,33.97918,-118.03284
Colorado Springs,38.83388,-104.82136
Provo,40.23384,-111.65853
Everett,47.97898,-122.20208
Kent,47.38093,-122.23484
Bellevue,47.61038,-122.20068
Spokane,47.65966,-117.42908
Tacoma,47.25288,-122.44429
Vancouver,45.63873,-122.66149
Renton,47.48288,-122.21707
Greeley,40.42331,-104.70913
Boulder,40.01499,-105.27055
Fort Collins,40.58526,-105.08442
Salinas,36.67774,-121.6555
San Bernardino,34.10834,-117.28977
San Mateo,37.56299,-122.32553
Santa Ana,33.74557,-117.86783
Santa Barbara,34.42083,-119.69819
Santa Clara,37.35411,-121.95524
Santa Clarita,34.39166,-118.54259
Santa Maria,34.95303,-120.43572
Santa Monica,34.01945,-118.49119
Santa Rosa,38.44047,-122.71443
Amarillo,35.222,-101.8313
Mobile,30.69436,-88.04305
Durham,35.99403,-78.89862
Fayetteville,35.05266,-78.87836
Asheville,35.60095,-82.55402
Cary,35.79154,-78.78112
Shreveport,32.52515,-93.75018
Savannah,32.08354,-81.09983
Lafayette,30.22409,-92.01984
Metairie,29.98409,-90.15285
Huntsville,34.7304,-86.58594
Tuscaloosa,33.20984,-87.56917
Fort Smith,35.38592,-94.39855
Independence,39.09112,-94.41551
Jefferson City,38.5767,-92.17352
St. Louis,38.62727,-90.19789
Springfield,37.21533,-93.29824
